sun,21,taurus,2 
moon,27,taurus,31
mercury,8,taurus,6
venus,18,aries,23
mars,15,capricorn,47
jupiter,9,cancer,0
saturn,24,pisces,48
uranus,12,capricorn,27
neptune,10,cancer,33
pluto,22,gemini,29
chiron,18,aquarius,10
asc,7,scorpio,57
mc,16,leo,9
north node,26,cancer,48
